ticker,date,current_price,data_points,ema_10,ema_10_slope,sma_20,sma_20_slope,sma_50,sma_50_slope,macd,macd_signal,macd_histogram,rsi_14,price_position_52w,atr,atr_pct,atr_percentile_100,atrext_dollar,atrext_percent,weekly_stage_code,weekly_stage_color_code,weekly_stage_name,weekly_momentum_20,weekly_ma_alignment,weekly_price_vs_ema_fast,weekly_price_vs_sma_medium,weekly_price_vs_sma_slow,weekly_pct_change,weekly_abs_pct_change,weekly_5period_pct_change,weekly_10period_pct_change,weekly_atr_ratio,timeframe
XLU,2025-08-18,86.17,86,84.12,0.57,81.59,0.46,79.07,0.25,2.27,1.85,0.42,71.45,1.00,2.48,2.88,,2.87,3.12,2A,green_light,Bullish Trend,9.93,Bullish,2.43,5.61,8.98,0.64,0.64,1.95,7.41,2.84,weekly
XLC,2025-08-18,109.85,86,107.03,0.66,102.53,0.68,98.43,0.47,3.51,2.96,0.56,67.28,0.96,3.47,3.16,,3.29,3.68,2A,green_light,Bullish Trend,15.64,Bullish,2.63,7.14,11.61,-1.46,1.46,2.07,7.08,2.98,weekly
VGT,2025-08-18,683.89,86,671.60,6.28,626.63,7.27,610.98,2.66,29.13,22.03,7.10,68.28,0.93,28.78,4.21,,2.53,2.84,2A,green_light,Bullish Trend,27.26,Bullish,1.83,9.14,11.93,-2.31,2.31,-0.70,8.93,3.83,weekly
SPY,2025-08-18,638.11,86,624.71,4.06,597.28,4.27,586.59,1.83,18.20,13.75,4.44,67.52,0.97,17.77,2.78,,2.90,3.15,2A,green_light,Bullish Trend,16.22,Bullish,2.14,6.84,8.78,-0.83,0.83,0.16,7.69,2.41,weekly
QQQ,2025-08-18,565.90,86,556.13,4.24,526.62,5.00,510.89,2.08,20.52,16.14,4.38,67.63,0.94,19.69,3.48,,2.79,3.10,2A,green_light,Bullish Trend,21.01,Bullish,1.76,7.46,10.77,-1.98,1.98,-0.08,7.54,3.03,weekly
DIA,2025-08-18,449.36,86,440.46,1.77,426.72,1.75,425.90,0.89,7.90,5.54,2.35,63.19,1.00,12.30,2.74,,1.91,2.01,2A,green_light,Bullish Trend,10.67,Bullish,2.02,5.31,5.51,0.02,0.02,0.14,6.95,2.47,weekly
IWM,2025-08-18,225.41,86,219.68,1.16,210.12,1.22,215.69,0.23,3.93,1.79,2.14,63.06,0.75,9.22,4.09,,1.05,1.10,2A,green_light,Bullish Trend,15.42,Mixed,2.61,7.28,4.50,-0.76,0.76,0.46,8.04,3.88,weekly
IWC,2025-08-18,136.07,86,131.18,1.01,123.27,1.08,124.63,0.30,4.01,2.42,1.59,67.09,0.97,6.18,4.54,,1.85,2.02,??,gray,Undefined,22.81,Mixed,3.73,10.39,9.18,-0.79,0.79,0.64,10.99,4.54,weekly
TLT,2025-08-18,86.84,86,86.43,0.14,85.98,-0.11,87.64,-0.14,-0.21,-0.44,0.23,55.97,0.27,2.00,2.30,,-0.40,-0.40,1B,yellow,Mean Reversion,0.51,Mixed,0.47,1.00,-0.91,0.51,0.51,0.86,1.16,2.01,weekly
GLD,2025-08-18,308.36,86,307.65,0.48,306.20,1.59,275.07,1.58,9.97,11.89,-1.92,59.90,0.94,8.97,2.91,,3.71,4.16,2A,green_light,Bullish Trend,2.10,Bullish,0.23,0.70,12.10,0.30,0.30,0.31,-0.57,3.11,weekly
UUP,2025-08-18,27.46,86,27.39,0.01,27.38,-0.05,28.07,0.01,-0.22,-0.26,0.04,42.81,0.35,0.41,1.48,,-1.51,-1.47,1B,yellow,Mean Reversion,-0.25,Mixed,0.25,0.28,-2.17,0.44,0.44,0.99,0.22,1.29,weekly
VIX,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDY,2025-08-18,580.23,86,571.95,1.86,554.26,2.63,562.67,0.66,7.89,4.63,3.26,57.09,0.77,20.41,3.52,,0.86,0.89,2A,green_light,Bullish Trend,11.75,Mixed,1.45,4.68,3.12,0.03,0.03,-1.28,5.44,3.13,weekly
ARKK,2025-08-18,73.78,86,71.73,1.03,63.57,1.30,58.07,0.62,5.80,4.75,1.05,69.55,0.89,5.09,6.89,,3.09,3.92,2C,green_dark,Bullish Extended,52.29,Bullish,2.86,16.05,27.05,-4.19,4.19,-3.92,8.93,8.18,weekly
FFTY,2025-08-18,32.98,86,32.75,0.33,30.65,0.35,29.52,0.17,1.43,1.11,0.32,64.96,0.86,1.88,5.69,,1.84,2.06,2B,lime,Breakout Confirmation,25.70,Bullish,0.69,7.59,11.71,-4.52,4.52,-2.71,6.22,5.93,weekly
VUG,2025-08-18,453.05,86,444.38,3.75,419.62,4.26,406.82,1.78,17.21,13.39,3.81,68.10,0.94,15.99,3.53,,2.89,3.22,2A,green_light,Bullish Trend,21.99,Bullish,1.95,7.97,11.36,-1.95,1.95,-0.26,8.65,3.10,weekly
VTV,2025-08-18,181.64,86,177.58,0.67,172.72,0.59,172.07,0.29,2.93,2.10,0.83,65.85,1.00,4.29,2.36,,2.23,2.35,2A,green_light,Bullish Trend,9.22,Bullish,2.28,5.17,5.56,0.77,0.77,0.54,5.36,2.08,weekly
