Date,Internet software/Services,Packaged software,Semiconductors
2025-01-16 00:00:00-05:00,344.9707,387.9764,181.1795
2025-01-17 00:00:00-05:00,348.5450,392.4586,186.1501
2025-01-21 00:00:00-05:00,351.6861,391.9667,189.2642
2025-01-22 00:00:00-05:00,359.6278,408.5750,193.9036
2025-01-23 00:00:00-05:00,364.8024,409.2370,193.0383
2025-01-24 00:00:00-05:00,368.6335,406.9526,190.1840
2025-01-27 00:00:00-05:00,365.8190,397.6236,162.6090
2025-01-28 00:00:00-05:00,371.7772,409.7093,170.5224
2025-01-29 00:00:00-05:00,372.8437,405.6373,168.1767
2025-01-30 00:00:00-05:00,378.8472,381.9466,171.9424
2025-01-31 00:00:00-05:00,381.7095,382.2726,170.0516
2025-02-03 00:00:00-05:00,382.0321,378.6276,166.4947
2025-02-04 00:00:00-05:00,388.3022,382.2347,169.1373
2025-02-05 00:00:00-05:00,379.6921,382.3691,175.5986
2025-02-06 00:00:00-05:00,381.9178,385.9160,177.6614
2025-02-07 00:00:00-05:00,378.2527,380.4133,176.4171
2025-02-10 00:00:00-05:00,380.6808,383.4033,182.0272
2025-02-11 00:00:00-05:00,379.1555,382.0245,182.0159
2025-02-12 00:00:00-05:00,380.7944,380.5506,181.2975
2025-02-13 00:00:00-05:00,384.4283,385.2969,184.9602
2025-02-14 00:00:00-05:00,386.8896,385.0016,185.6983
2025-02-18 00:00:00-05:00,379.2794,386.0172,184.8711
2025-02-19 00:00:00-05:00,377.5516,389.2911,184.8823
2025-02-20 00:00:00-05:00,373.5590,389.0424,184.9171
2025-02-21 00:00:00-05:00,365.8339,380.4079,178.7584
2025-02-24 00:00:00-05:00,360.6132,375.6035,173.4026
2025-02-25 00:00:00-05:00,354.5459,368.7903,169.3720
2025-02-26 00:00:00-05:00,357.7602,368.8057,175.5159
2025-02-27 00:00:00-05:00,348.9995,361.7319,162.1888
2025-02-28 00:00:00-05:00,354.0351,365.8290,166.3448
2025-03-03 00:00:00-05:00,347.9091,358.7149,155.8900
2025-03-04 00:00:00-05:00,346.6493,358.5314,157.7133
2025-03-05 00:00:00-05:00,353.6329,369.5206,161.0136
