Date,Finance/Rental/Leasing,Internet software/Services,Major banks,Packaged software,Pharmaceuticals: major,Semiconductors
2018-09-01 00:00:00-04:00,174.3629,159.2251,34.8832,46.3624,95.0602,
2018-10-01 00:00:00-04:00,157.2623,141.7434,32.2603,43.9166,92.9257,
2018-11-01 00:00:00-04:00,160.8582,155.1879,32.6103,44.0212,102.0361,
2018-12-01 00:00:00-05:00,150.5073,147.4613,27.3407,40.7620,96.6723,
2019-01-01 00:00:00-05:00,161.6988,168.3240,32.7707,45.3483,97.2012,
2019-02-01 00:00:00-05:00,174.6490,177.0450,33.0026,47.2500,100.7660,
2019-03-01 00:00:00-05:00,183.6428,180.5453,31.8873,48.6821,103.7566,
2019-04-01 00:00:00-04:00,196.0428,196.3465,35.7851,50.1505,98.4196,
2019-05-01 00:00:00-04:00,193.3663,193.8903,31.2935,46.0686,95.2531,
2019-06-01 00:00:00-04:00,205.5932,207.9911,34.8099,51.8682,94.7183,
2019-07-01 00:00:00-04:00,211.2729,209.9103,36.1733,51.2582,90.6107,
2019-08-01 00:00:00-04:00,216.8067,202.7108,32.5747,47.5898,91.9208,
2019-09-01 00:00:00-04:00,208.0448,187.5758,34.8903,50.3047,94.0840,
2019-10-01 00:00:00-04:00,213.9499,188.9581,36.9567,49.8111,96.3755,
2019-11-01 00:00:00-04:00,223.7098,189.6740,39.0051,51.5483,100.9700,
2019-12-01 00:00:00-05:00,228.4121,191.6032,41.5022,48.6468,109.8154,
2020-01-01 00:00:00-05:00,241.7657,206.9768,38.7761,48.1601,112.6606,
2020-02-01 00:00:00-05:00,221.7194,188.6896,33.4760,45.6168,104.4197,
2020-03-01 00:00:00-05:00,189.9345,179.0836,23.5889,44.5746,107.7362,
2020-04-01 00:00:00-04:00,213.6879,208.3193,27.0342,48.8541,120.5050,
2020-05-01 00:00:00-04:00,233.8546,217.7860,26.9058,49.8275,121.7809,
2020-06-01 00:00:00-04:00,230.6917,205.6741,27.6618,51.2175,126.3932,
2020-07-01 00:00:00-04:00,234.7009,210.4970,28.1503,51.3843,120.8898,
2020-08-01 00:00:00-04:00,267.8099,213.5996,29.0967,53.2487,122.3388,
2020-09-01 00:00:00-04:00,252.9119,203.7052,25.9675,55.5566,119.9711,
2020-10-01 00:00:00-04:00,221.8122,189.6343,25.3812,52.2157,108.7925,
2020-11-01 00:00:00-04:00,257.9611,199.5983,31.9036,53.9315,121.6045,
2020-12-01 00:00:00-05:00,271.4339,215.1906,34.9844,60.4440,136.1797,
2021-01-01 00:00:00-05:00,237.3543,192.9854,33.7050,56.4636,154.0453,
2021-02-01 00:00:00-05:00,263.3423,192.9456,39.0663,60.5065,152.8483,
2021-03-01 00:00:00-05:00,263.6402,197.6492,43.3593,65.8152,146.9867,
2021-04-01 00:00:00-04:00,286.1593,217.5474,44.1886,71.0864,145.4528,
2021-05-01 00:00:00-04:00,273.7735,218.6909,47.5112,74.1729,155.2974,
2021-06-01 00:00:00-04:00,279.4423,226.4175,44.6169,73.3251,168.0494,
2021-07-01 00:00:00-04:00,294.6830,215.1608,42.1026,82.0857,176.9647,
2021-08-01 00:00:00-04:00,269.7415,215.0514,45.5079,84.2700,185.0504,
2021-09-01 00:00:00-04:00,267.6112,203.8643,45.4588,82.3790,167.7464,
2021-10-01 00:00:00-04:00,257.5246,221.4256,48.5972,90.7086,180.2002,
2021-11-01 00:00:00-04:00,238.7019,238.5693,45.1732,86.0906,175.8407,
2021-12-01 00:00:00-05:00,269.3388,252.4015,44.2633,82.7415,197.3593,
2022-01-01 00:00:00-05:00,285.0769,215.9663,46.7357,77.0015,184.0821,
2022-02-01 00:00:00-05:00,268.6656,212.5256,43.8925,72.3452,186.8316,
2022-03-01 00:00:00-05:00,270.4962,221.2168,40.5387,78.7826,210.4344,
2022-04-01 00:00:00-04:00,268.0768,177.6914,35.7563,69.8978,210.5717,
2022-05-01 00:00:00-04:00,265.4375,173.5745,38.3176,68.7563,220.3644,
2022-06-01 00:00:00-04:00,239.3022,166.3949,32.4327,66.7965,226.7876,
2022-07-01 00:00:00-04:00,263.8568,188.1029,35.8995,74.4159,226.3858,
2022-08-01 00:00:00-04:00,244.3650,181.2016,35.0341,71.2053,208.3360,
2022-09-01 00:00:00-04:00,216.1885,172.7293,30.8528,58.6447,219.6217,
2022-10-01 00:00:00-04:00,250.6222,199.3397,35.8595,74.9696,242.7420,
2022-11-01 00:00:00-04:00,267.9930,198.6933,37.7312,80.1425,251.5154,
2022-12-01 00:00:00-05:00,259.5241,204.2919,33.9882,78.8974,249.6324,
2023-01-01 00:00:00-05:00,281.4215,216.8314,37.6326,85.3837,233.1557,
2023-02-01 00:00:00-05:00,269.5951,195.7300,36.4409,84.6769,217.1311,
2023-03-01 00:00:00-05:00,276.2036,210.1490,31.8593,90.0249,234.3439,
2023-04-01 00:00:00-04:00,287.1630,220.5605,32.4635,91.7688,258.8422,
2023-05-01 00:00:00-04:00,274.8278,222.0720,30.8499,103.0690,269.3002,
2023-06-01 00:00:00-04:00,295.9928,224.7072,31.9333,115.8626,290.3482,
2023-07-01 00:00:00-04:00,296.6282,209.7711,34.6881,114.0531,287.6185,
2023-08-01 00:00:00-04:00,309.0274,206.6287,30.6610,117.5385,331.6743,
2023-09-01 00:00:00-04:00,293.6855,201.3981,30.0718,103.4112,323.5579,
2023-10-01 00:00:00-04:00,287.9929,198.5442,28.9063,100.9509,327.5071,
2023-11-01 00:00:00-04:00,316.2478,211.0141,33.5768,113.8727,346.9119,
2023-12-01 00:00:00-05:00,324.2533,204.8090,37.6122,103.3095,347.4770,
2024-01-01 00:00:00-05:00,340.7795,214.0015,114.9869,292.3128,334.4293,95.2634
2024-01-08 00:00:00-05:00,340.7795,225.5632,113.7322,307.9970,334.5716,101.1236
2024-01-15 00:00:00-05:00,340.7795,229.6776,114.4627,315.6144,334.1776,109.9189
2024-01-22 00:00:00-05:00,340.7795,242.3759,115.6048,319.6197,334.2542,115.7663
2024-01-29 00:00:00-05:00,340.7795,255.6825,117.0252,325.1781,334.0545,120.4316
2024-02-01 00:00:00-05:00,357.0367,255.6704,117.0761,325.2320,380.0647,120.4316
2024-02-05 00:00:00-05:00,357.0367,258.1488,117.2385,332.8006,379.6023,128.3197
2024-02-12 00:00:00-05:00,357.0367,255.3801,119.5691,320.8986,379.8773,127.1094
2024-02-19 00:00:00-05:00,357.0367,260.3886,122.4446,325.9732,380.0907,132.7148
2024-02-26 00:00:00-05:00,357.0367,262.9443,123.1983,330.1509,380.0582,141.0322
2024-03-01 00:00:00-05:00,358.3094,262.9249,125.1728,331.9794,390.9647,141.0322
