# ================================================================,,
# SECTION 0 — QUICK REFERENCE (settings changed most often),,
# ================================================================,,
# ticker_choice:      0=TW universe  1=SP500  2=NASDAQ100  3=all NASDAQ,,
#                     4=Russell1000  5=indexes  6=portfolio  7=ETFs  8=test,,
# MARKET_BREADTH_universe scope must match what downloadData_v1 downloaded,,
# ----------------------------------------------------------------,,
ticker_choice,0s,Ticker combination choice (0-8)
PVB_TWmodel_weekly_price_breakout_period,12,Weekly price breakout window (weeks)
PVB_TWmodel_weekly_volume_breakout_period,12,Weekly volume breakout window (weeks)
PVB_TWmodel_weekly_trendline_length,10,Weekly MA trend period (weeks)
PVB_TWmodel_weekly_close_threshold,5,Weekly days below/above MA for close signal
PVB_TWmodel_weekly_signal_max_age,100,Weekly maximum signal age
# Monthly parameters,,
PVB_TWmodel_monthly_price_breakout_period,6,Monthly price breakout window (months)
PVB_TWmodel_monthly_volume_breakout_period,6,Monthly volume breakout window (months)
PVB_TWmodel_monthly_trendline_length,4,Monthly MA trend period (months)
PVB_TWmodel_monthly_close_threshold,1,Monthly close signal threshold
PVB_TWmodel_monthly_signal_max_age,100,Monthly maximum signal age
# Common parameters,,
PVB_TWmodel_order_direction,Long and Short,Trading direction (Long | Short | Long and Short)
PVB_TWmodel_min_volume,10000,Minimum volume requirement
PVB_TWmodel_min_price,1,Minimum price requirement
# TradingView watchlist export,,
PVB_TWmodel_export_tradingview,TRUE,Export results to TradingView watchlist format
PVB_TWmodel_watchlist_max_symbols,1000,Maximum symbols per watchlist file
PVB_TWmodel_watchlist_include_buy,TRUE,Include Buy signals in watchlist
PVB_TWmodel_watchlist_include_sell,TRUE,Include Sell signals in watchlist
,,
,,
# ---------------------------------------------------------------,,
# 7b. MINERVINI TEMPLATE,,
# ---------------------------------------------------------------,,
# MINERVINI_enable is in Section 0 (single source of truth),,
MINERVINI_rs_benchmark,QQQ,Benchmark ticker for RS rating (QQQ or SPY)
MINERVINI_rs_weights,1d:0.05;3d:0.10;7d:0.15;22d:0.20;66d:0.25;252d:0.25,"Weights per RS period (must sum to 1.0): Uses same periods as RS, PER"
MINERVINI_rs_threshold,70,Minimum RS Rating (0-100) to pass criterion 8
MINERVINI_min_volume,100000,Minimum daily volume
MINERVINI_min_price,5,Minimum stock price
MINERVINI_show_all_stocks,TRUE,Show passing stocks only (FALSE) or all stocks with scores (TRUE)
,,
,,
# ---------------------------------------------------------------,,
# 7c. QULLAMAGGIE,,
# ---------------------------------------------------------------,,
# QULLAMAGGIE_SUITE_enable is in Section 0 (single source of truth),,
QULLAMAGGIE_SUITE_rs_benchmark,QQQ,Benchmark for RS percentile check (QQQ or SPY)
QULLAMAGGIE_SUITE_rs_periods,7d;22d;66d;132d,RS periods to check (must pass >=1 with score>=threshold). Are calculated in layer 1step
QULLAMAGGIE_SUITE_rs_threshold,97,Minimum RS percentile score required (top 3%)
QULLAMAGGIE_SUITE_atr_rs_threshold,50,Minimum ATR RS vs $1B+ universe (top 50%)
QULLAMAGGIE_SUITE_range_position_threshold,0.5,Minimum position in 20-day range (50%)
QULLAMAGGIE_SUITE_min_market_cap,1000000000,Minimum market cap in USD ($1B)
QULLAMAGGIE_SUITE_extension_warning,7,ATR extension warning threshold (7x from SMA50)
QULLAMAGGIE_SUITE_extension_danger,11,ATR extension danger threshold (11x from SMA50)
,,
,,
# ---------------------------------------------------------------,,
# 7d. STOCKBEE SUITE,,
# ---------------------------------------------------------------,,
# STOCKBEE_SUITE_enable is in Section 0 (single source of truth),,
STOCKBEE_SUITE_daily_enable,TRUE,Enable Stockbee daily timeframe
STOCKBEE_SUITE_weekly_enable,FALSE,Enable Stockbee weekly timeframe
STOCKBEE_SUITE_monthly_enable,FALSE,Enable Stockbee monthly timeframe
# Sub-screener flags,,
STOCKBEE_SUITE_9m_movers,TRUE,Enable 9M Movers (9M+ volume with 1.25x relative volume)
STOCKBEE_SUITE_weekly_movers,TRUE,Enable 20% Weekly Movers
STOCKBEE_SUITE_daily_gainers,TRUE,Enable 4% Daily Gainers
STOCKBEE_SUITE_industry_leaders,TRUE,Enable Top 20% Industries & Top 4 Performers
# Parameters,,
STOCKBEE_SUITE_9m_volume_threshold,9000000,9M Movers: minimum volume threshold
STOCKBEE_SUITE_9m_relative_volume,1.25,9M Movers: relative volume multiplier
STOCKBEE_SUITE_weekly_gain_threshold,20,Weekly Movers: minimum weekly gain (%)
STOCKBEE_SUITE_weekly_min_volume,100000,Weekly Movers: minimum average volume
STOCKBEE_SUITE_daily_gain_threshold,4,Daily Gainers: minimum daily gain (%)
STOCKBEE_SUITE_daily_min_volume,100000,Daily Gainers: minimum average volume
STOCKBEE_SUITE_industry_top_pct,20,Industry Leaders: top % of industries to select
STOCKBEE_SUITE_industry_top_stocks,4,Industry Leaders: top N stocks per industry
STOCKBEE_SUITE_industry_min_size,3,Industry Leaders: minimum stocks per industry
STOCKBEE_SUITE_min_market_cap,1000000000,Minimum market cap ($1B)
STOCKBEE_SUITE_min_price,5,Minimum stock price
STOCKBEE_SUITE_exclude_funds,TRUE,Exclude ETFs and mutual funds
STOCKBEE_SUITE_save_individual_files,TRUE,Save individual screener files
,,
,,
# ---------------------------------------------------------------,,
# 7e. DR. WISH (GLB / Blue Dot / Black Dot),,
# ---------------------------------------------------------------,,
# DRWISH_enable is in Section 0 (single source of truth),,
DRWISH_min_price,5,Minimum stock price
DRWISH_min_volume,100000,Minimum daily volume
DRWISH_pivot_strength,10,Bars each side to confirm pivot high
DRWISH_lookback_period,3m;6w,Period to search for highest high
DRWISH_calculate_historical_GLB,1y;6m,Historical period for GLB levels
DRWISH_confirmation_period,2w,Time pivot must remain unbroken before confirmation
DRWISH_require_confirmation,TRUE,Require confirmation before GLB becomes active
# GLB,,
DRWISH_enable_glb,TRUE,Enable GLB (Green Line Breakout) signals
# Blue Dot,,
DRWISH_enable_blue_dot,TRUE,Enable Blue Dot signals
DRWISH_blue_dot_stoch_period,10,Blue Dot stochastic period
DRWISH_blue_dot_stoch_threshold,20,Blue Dot stochastic threshold
DRWISH_blue_dot_sma_period,50,Blue Dot SMA trend period
# Black Dot,,
DRWISH_enable_black_dot,TRUE,Enable Black Dot signals
DRWISH_black_dot_stoch_period,10,Black Dot stochastic period
DRWISH_black_dot_stoch_threshold,25,Black Dot stochastic threshold
DRWISH_black_dot_lookback,3,Black Dot stochastic lookback days
DRWISH_black_dot_sma_period,30,Black Dot SMA trend period
DRWISH_black_dot_ema_period,21,Black Dot EMA trend period
# Output,,
DRWISH_show_all_stocks,FALSE,Show all stocks (TRUE) or signals only (FALSE)
DRWISH_enable_charts,FALSE,Enable chart generation for Dr. Wish signals
DRWISH_chart_output_dir,results/layer3_screeners/drwish/charts,Chart output directory
DRWISH_show_historical_glb,TRUE,Show historical GLB lines on charts
DRWISH_show_breakout_labels,TRUE,Show breakout labels on charts
DRWISH_generate_individual_files,TRUE,Generate individual ticker result files
,,
,,
# ---------------------------------------------------------------,,
# 7f. GIUSTI MOMENTUM,,
# ---------------------------------------------------------------,,
# GIUSTI_enable is in Section 0 (single source of truth),,
GIUSTI_min_price,5,Minimum stock price
GIUSTI_min_volume,100000,Minimum daily volume
GIUSTI_rolling_12m,12,Rolling 12-month performance period
GIUSTI_rolling_6m,6,Rolling 6-month performance period
GIUSTI_rolling_3m,3,Rolling 3-month performance period
GIUSTI_top_12m_count,50,Top 12-month performers to select
GIUSTI_top_6m_count,30,Top 6-month performers from 12m selection
GIUSTI_top_3m_count,10,Top 3-month performers from 6m selection
GIUSTI_min_history_months,12,Minimum months of historical data required
GIUSTI_show_all_stocks,TRUE,Show all stocks (TRUE) or top performers only (FALSE)
,,
,,
# ---------------------------------------------------------------,,
# 7g. ADL (ACCUMULATION/DISTRIBUTION LINE),,
# ---------------------------------------------------------------,,
# ADL_SCREENER_enable is in Section 0 (single source of truth),,
ADL_SCREENER_daily_enable,TRUE,Enable ADL daily timeframe
ADL_SCREENER_weekly_enable,FALSE,Enable ADL weekly timeframe
ADL_SCREENER_monthly_enable,FALSE,Enable ADL monthly timeframe
# Base parameters,,
ADL_SCREENER_lookback_period,50,ADL calculation and analysis period
ADL_SCREENER_divergence_period,20,Period to analyze for divergence patterns
ADL_SCREENER_breakout_period,30,Period to check for ADL breakouts
ADL_SCREENER_min_divergence_strength,0.7,Minimum divergence strength threshold
ADL_SCREENER_min_breakout_strength,1.2,Minimum breakout strength threshold
ADL_SCREENER_min_volume_avg,100000,Minimum average volume
ADL_SCREENER_min_price,5,Minimum stock price
ADL_SCREENER_save_individual_files,TRUE,Save individual ADL result files
# Month-over-month accumulation (Step 2),,
ADL_SCREENER_mom_analysis_enable,TRUE,Enable month-over-month accumulation analysis
ADL_SCREENER_mom_period,22,Trading days per month (~22)
ADL_SCREENER_mom_min_threshold_pct,15,Minimum monthly ADL growth (%)
ADL_SCREENER_mom_max_threshold_pct,30,Maximum monthly ADL growth (%)
ADL_SCREENER_mom_consecutive_months,3,Minimum consecutive months meeting criteria
ADL_SCREENER_mom_lookback_months,6,Total historical months to analyze
ADL_SCREENER_mom_min_consistency_score,60,Minimum consistency score (0-100)
# Short-term momentum (Step 3),,
ADL_SCREENER_short_term_enable,TRUE,Enable short-term momentum analysis
ADL_SCREENER_short_term_periods,5;10;20,ADL % change periods
ADL_SCREENER_short_term_momentum_threshold,5,Minimum % change for momentum signal
ADL_SCREENER_short_term_acceleration_detect,TRUE,Enable acceleration/deceleration detection
ADL_SCREENER_short_term_min_score,50,Minimum short-term score (0-100)
# Moving average analysis (Step 4),,
ADL_SCREENER_ma_enable,TRUE,Enable MA analysis on ADL line
ADL_SCREENER_ma_periods,20;50;100,MA periods for ADL
ADL_SCREENER_ma_type,SMA,MA type (SMA or EMA)
ADL_SCREENER_ma_bullish_alignment_required,TRUE,Require bullish MA alignment (20>50>100)
ADL_SCREENER_ma_crossover_detection,TRUE,Enable golden/death cross detection
ADL_SCREENER_ma_crossover_lookback,10,Lookback periods for recent MA crossovers
ADL_SCREENER_ma_min_slope_threshold,0.01,Minimum positive MA slope threshold
ADL_SCREENER_ma_min_alignment_score,70,Minimum MA alignment score (0-100)
# Composite scoring (Step 5),,
ADL_SCREENER_composite_scoring_enable,TRUE,Enable composite scoring system
ADL_SCREENER_composite_weight_longterm,0.4,Weight for long-term accumulation score
ADL_SCREENER_composite_weight_shortterm,0.3,Weight for short-term momentum score
ADL_SCREENER_composite_weight_ma_align,0.3,Weight for MA alignment score
ADL_SCREENER_composite_min_score,70,Minimum composite score (0-100)
ADL_SCREENER_ranking_method,composite,Ranking method (composite | momentum | accumulation)
ADL_SCREENER_output_ranking_file,TRUE,Generate ranked output file
ADL_SCREENER_top_candidates_count,50,Top candidates to highlight
# Output,,
ADL_SCREENER_output_separate_signals,TRUE,Save separate files per signal type
ADL_SCREENER_output_include_charts,FALSE,Generate ADL charts (future feature)
ADL_SCREENER_output_summary_stats,TRUE,Include summary statistics
,,
,,
# ---------------------------------------------------------------,,
# 7h. GUPPY GMMA,,
# ---------------------------------------------------------------,,
# GUPPY_SCREENER_enable is in Section 0 (single source of truth),,
GUPPY_SCREENER_daily_enable,TRUE,Enable Guppy daily timeframe
GUPPY_SCREENER_weekly_enable,FALSE,Enable Guppy weekly timeframe
GUPPY_SCREENER_monthly_enable,FALSE,Enable Guppy monthly timeframe
GUPPY_SCREENER_ma_type,EMA,"MA type: ema, sma"
GUPPY_SCREENER_short_term_group_daily,"3,5,8,10,12,25",Short-term EMA group
GUPPY_SCREENER_long_term_group_daily,"30,35, 40, 45, 50, 60",Long-term EMA group
GUPPY_SCREENER_min_compression_ratio,0.02,Minimum compression ratio for breakout detection (2%)
GUPPY_SCREENER_min_expansion_ratio,0.05,Minimum expansion ratio for strong trend (5%)
GUPPY_SCREENER_crossover_confirmation_days,3,Days to confirm GMMA crossover
GUPPY_SCREENER_volume_confirmation_threshold,1.2,Volume confirmation multiplier
GUPPY_SCREENER_min_price,5,Minimum stock price
GUPPY_SCREENER_min_volume_avg,100000,Minimum average volume
GUPPY_SCREENER_min_data_length,65,Minimum data length for GMMA analysis
GUPPY_SCREENER_save_individual_files,TRUE,Save individual GMMA result files
,,
,,
# ---------------------------------------------------------------,,
# 7i. GOLD LAUNCH PAD,,
# ---------------------------------------------------------------,,
# GOLD_LAUNCH_PAD_enable is in Section 0 (single source of truth),,
GOLD_LAUNCH_PAD_daily_enable,TRUE,Enable Gold Launch Pad daily timeframe
GOLD_LAUNCH_PAD_weekly_enable,FALSE,Enable Gold Launch Pad weekly timeframe
GOLD_LAUNCH_PAD_monthly_enable,FALSE,Enable Gold Launch Pad monthly timeframe
GOLD_LAUNCH_PAD_ma_periods,10;20;50,MA periods for launch pad analysis
GOLD_LAUNCH_PAD_ma_type,EMA,MA type (EMA SMA WMA)
GOLD_LAUNCH_PAD_zscore_window,50,Z-score window for MA spread analysis
GOLD_LAUNCH_PAD_max_spread_threshold,1,Maximum Z-score spread for tight grouping
GOLD_LAUNCH_PAD_slope_lookback_pct,0.3,Slope lookback as % of MA period (30%)
GOLD_LAUNCH_PAD_min_slope_threshold,0.0001,Minimum slope for positive trend
GOLD_LAUNCH_PAD_price_proximity_stdv,2,Price proximity to MA cluster (std deviations)
GOLD_LAUNCH_PAD_proximity_window,20,Window for price volatility proximity threshold
GOLD_LAUNCH_PAD_min_price,5,Minimum stock price
GOLD_LAUNCH_PAD_min_volume,100000,Minimum average volume
GOLD_LAUNCH_PAD_save_individual_files,TRUE,Save individual Gold Launch Pad result files
,,
,,
# ---------------------------------------------------------------,,
# 7j. RTI (RANGE TIGHTENING INDICATOR),,
# ---------------------------------------------------------------,,
# RTI_enable is in Section 0 (single source of truth),,
RTI_daily_enable,TRUE,Enable RTI daily timeframe
RTI_weekly_enable,FALSE,Enable RTI weekly timeframe
RTI_monthly_enable,FALSE,Enable RTI monthly timeframe
RTI_period,50,RTI long-term volatility calculation period
RTI_short_period,5,RTI short-term volatility period
RTI_swing_period,15,RTI medium-term volatility period
RTI_zone1_threshold,5,Zone 1 extremely tight volatility threshold (%)
RTI_zone2_threshold,10,Zone 2 low volatility threshold (%)
RTI_zone3_threshold,15,Zone 3 moderate low volatility threshold (%)
RTI_low_volatility_threshold,20,General low volatility threshold for orange dot (%)
RTI_expansion_multiplier,2,Range expansion multiplier for breakout detection
RTI_consecutive_low_vol_bars,2,Consecutive low vol bars required for orange dot
RTI_min_consolidation_period,3,Minimum consolidation period for signal validation
RTI_breakout_confirmation_period,2,Breakout confirmation period (bars)
RTI_min_price,5,Minimum stock price
RTI_min_volume,100000,Minimum average volume
RTI_save_individual_files,TRUE,Save individual RTI result files
,,
,,
# ---------------------------------------------------------------,,
# 7k. ATR1 / ATR2 SCREENERS,,
# ---------------------------------------------------------------,,
# ATR1 (TradingView-validated with RMA smoothing),,
# ATR1_enable is in Section 0 (single source of truth),,
ATR1_daily_length,20,Daily ATR length for ATR1
ATR1_daily_factor,3,Daily ATR multiplier for vStop
ATR1_daily_length2,20,Daily ATR length2 for vStop2
ATR1_daily_factor2,1.5,Daily ATR multiplier2 for vStop2
ATR1_weekly_length,4,Weekly ATR length (weeks)
ATR1_weekly_factor,3,Weekly ATR multiplier
ATR1_weekly_length2,4,Weekly ATR length2
ATR1_weekly_factor2,1.5,Weekly ATR multiplier2
ATR1_monthly_length,2,Monthly ATR length (months)
ATR1_monthly_factor,3,Monthly ATR multiplier
ATR1_monthly_length2,2,Monthly ATR length2
ATR1_monthly_factor2,1.5,Monthly ATR multiplier2
cap_history_data,2,Limit history for ATR1 (0=all 1=yearly 2=timeframe-specific)
,,
# ATR2 (Volatility analysis with Wilder smoothing),,
ATR2_enable,FALSE,Enable ATR2 screener
ATR2_daily_atr_period,14,Daily ATR period (Wilder)
ATR2_daily_sma_period,50,Daily SMA for ATRext
ATR2_daily_percentile_period,100,Daily ATR percentile period
ATR2_weekly_atr_period,14,Weekly ATR period
ATR2_weekly_sma_period,10,Weekly SMA for ATRext
ATR2_weekly_percentile_period,20,Weekly ATR percentile period
ATR2_monthly_atr_period,14,Monthly ATR period
ATR2_monthly_sma_period,4,Monthly SMA for ATRext
ATR2_monthly_percentile_period,6,Monthly ATR percentile period
,,
,,
# ---------------------------------------------------------------,,
# 7l. VOLUME SUITE,,
# ---------------------------------------------------------------,,
# VOLUME_SUITE_enable is in Section 0 (single source of truth),,
VOLUME_SUITE_hv_absolute,TRUE,Enable HV Absolute maximum volume analysis
VOLUME_SUITE_hv_stdv,TRUE,Enable HV Standard Deviation analysis
VOLUME_SUITE_enhanced_anomaly,TRUE,Enable Enhanced Volume Anomaly detection
VOLUME_SUITE_volume_indicators,TRUE,Enable Volume Indicators (VROC RVOL ADTV MFI VPT)
VOLUME_SUITE_pvb_Clmodel_integration,TRUE,Enable PVB ClModel integration
# HV Absolute,,
VOLUME_SUITE_hv_month_cutoff,15,HV Absolute: analyze last N months only
VOLUME_SUITE_hv_day_cutoff,3,HV Absolute: exclude last N days
VOLUME_SUITE_hv_std_cutoff,3,HV Absolute: std deviations above mean threshold
VOLUME_SUITE_hv_min_volume,100000,HV Absolute: minimum volume
VOLUME_SUITE_hv_min_price,20,HV Absolute: minimum stock price
# HV StdDev,,
VOLUME_SUITE_stdv_cutoff,10,HV StdDev: std deviations above mean for anomaly
VOLUME_SUITE_stdv_min_volume,10000,HV StdDev: minimum volume
# Volume Indicators,,
VOLUME_SUITE_vroc_threshold,100,VROC: rate of change anomaly threshold (%)
VOLUME_SUITE_rvol_threshold,3,RVOL: relative volume threshold (3x average)
VOLUME_SUITE_rvol_extreme_threshold,5,RVOL: extreme relative volume threshold
VOLUME_SUITE_mfi_overbought,80,MFI: overbought threshold
VOLUME_SUITE_mfi_oversold,20,MFI: oversold threshold
VOLUME_SUITE_vpt_threshold,0.05,VPT: Volume Price Trend change threshold (5%)
VOLUME_SUITE_adtv_3m_threshold,0.2,ADTV: 3-month trend increase threshold
VOLUME_SUITE_adtv_6m_threshold,0.5,ADTV: 6-month trend increase threshold
VOLUME_SUITE_adtv_1y_threshold,2,ADTV: 1-year trend increase threshold
VOLUME_SUITE_adtv_min_volume,100000,ADTV: minimum volume for trend analysis
# PVB ClModel integration,,
VOLUME_SUITE_pvb_Clmodel_price_period,30,PVB ClModel: price breakout window
VOLUME_SUITE_pvb_Clmodel_volume_period,30,PVB ClModel: volume breakout window
VOLUME_SUITE_pvb_Clmodel_trend_length,50,PVB ClModel: MA trend period
VOLUME_SUITE_pvb_Clmodel_volume_multiplier,1.5,PVB ClModel: volume multiplier for breakout
VOLUME_SUITE_pvb_Clmodel_direction ,Long,PVB ClModel: direction (Long | Short | Long and Short)
,,
,,
# ================================================================,,
# SECTION 8 — OUTPUT & REPORTS,,
# ================================================================,,
# PDF reports,,
pdf_reports_enable,TRUE,Enable automated PDF report generation
pdf_reports_output_dir,results/layer1_market_health/reports,PDF reports output directory
pdf_reports_include_charts,TRUE,Include tornado charts in PDF reports
,,
# Report generation,,
REPORT_enable,TRUE,Enable automated report generation
REPORT_template_type,market_analysis,Report template (market_analysis | full_analysis)
REPORT_page_size,A4_landscape,Page size (A4_portrait | A4_landscape | A3_landscape)
REPORT_output_dir,results/layer2_basic_calculations/reports,Report output directory
REPORT_include_charts,TRUE,Include charts in reports
REPORT_file_dates_auto,TRUE,Automatically use latest generated CSV files
REPORT_file_dates_manual,,Manual file dates override (YYYYMMDD: daily:weekly:monthly)
REPORT_sections_basic_stats,TRUE,Include basic statistics section
REPORT_sections_percentage_analysis,TRUE,Include percentage change analysis section
REPORT_sections_rs_analysis,TRUE,Include RS analysis section
REPORT_sections_tornado_charts,TRUE,Include tornado charts
REPORT_sections_summary,TRUE,Include executive summary
REPORT_max_tickers_display,20,Maximum tickers to display in detailed sections
REPORT_format,PDF,Output format (PDF | HTML | DOCX)
REPORT_include_metadata,TRUE,Include file generation metadata
,,
# Dashboard,,
DASHBOARD_enable,FALSE,Enable daily market overview dashboard generation
DASHBOARD_output_dir,results/dashboards,Dashboard output directory
DASHBOARD_auto_refresh,TRUE,Automatically refresh dashboard data on pipeline run
DASHBOARD_include_charts,TRUE,Include embedded charts in dashboard
DASHBOARD_max_opportunities,15,Maximum top opportunities to display
DASHBOARD_max_alerts,10,Maximum alerts to display
DASHBOARD_save_historical,TRUE,Save historical dashboard versions
,,
,,
# ================================================================,,
# SECTION 9 — POST-PROCESSING,,
# ================================================================,,
# Periods defined in Section 6b (PCT CHANGE PERIODS) — single source of truth,,
# indexes_overview_file is in Section 4 (single source of truth),,
