Date,Consumer non-durables,Consumer services,Electronic technology,Health technology,Producer manufacturing,Retail trade,Technology services,Transportation,Utilities
2024-10-17 00:00:00-04:00,116.0511,1230.3597,191.7919,300.6016,123.1769,334.4721,325.7328,123.4163,149.5885
2024-10-18 00:00:00-04:00,116.9839,1225.4557,193.5494,306.5746,124.7482,336.6574,329.4667,123.7134,149.2931
2024-10-21 00:00:00-04:00,116.8970,1227.6174,195.8440,302.9821,123.8861,337.0990,330.1702,123.8192,150.3986
2024-10-22 00:00:00-04:00,116.8428,1232.1506,195.6484,303.1650,122.5753,337.3342,333.4595,123.9329,147.3089
2024-10-23 00:00:00-04:00,115.8210,1214.3315,191.3072,299.3910,122.2346,332.9790,327.9917,121.2249,147.6952
2024-10-24 00:00:00-04:00,115.5558,1221.1998,191.4182,298.5180,124.3676,334.0540,329.0770,122.7988,146.8678
2024-10-25 00:00:00-04:00,115.5092,1223.9382,192.5686,299.1533,126.1406,334.5776,331.9280,124.1884,146.3274
2024-10-28 00:00:00-04:00,114.8377,1223.9616,192.7589,298.7565,124.9199,335.4361,332.6209,124.4147,147.5986
2024-10-29 00:00:00-04:00,113.3977,1244.7638,194.9390,298.4120,128.0117,335.5266,338.6850,125.4580,146.0932
2024-10-30 00:00:00-04:00,112.8918,1254.1245,191.1184,297.7279,124.9681,335.4785,340.1535,125.9789,144.7905
2024-10-31 00:00:00-04:00,112.2675,1307.9774,185.2510,288.9199,122.4644,330.7974,327.4347,126.3770,146.1453
2024-11-01 00:00:00-04:00,113.2083,1329.2892,185.5517,289.7161,123.2446,340.4090,328.8622,125.6919,143.6355
2024-11-04 00:00:00-05:00,113.5542,1336.2895,185.2453,288.6962,122.5759,340.3829,326.5916,127.0145,130.9259
2024-11-05 00:00:00-05:00,114.5143,1372.9092,188.0886,292.0195,125.9438,344.6083,330.2583,128.8871,134.6763
2024-11-06 00:00:00-05:00,112.4292,1399.8246,191.2829,290.9557,127.8050,352.3189,337.6887,138.9371,134.1943
2024-11-07 00:00:00-05:00,112.2052,1379.3510,195.4225,295.3732,130.9948,344.0530,345.8998,137.8684,136.7517
2024-11-08 00:00:00-05:00,112.3656,1384.9343,195.2541,299.2807,129.9930,349.6087,344.3679,138.9519,136.3744
2024-11-11 00:00:00-05:00,112.6536,1417.5397,192.5813,297.3134,128.0501,350.5060,344.4664,141.9320,135.3574
2024-11-12 00:00:00-05:00,112.8818,1405.7703,193.0338,291.8405,127.1082,352.3700,347.5709,141.7411,131.5275
