ticker,timeframe,signal_date,signal_type,current_price,vstop_long,vstop_short,vstop2_long,vstop2_short,atr_value,signal_strength,atr1_score,screen_type,signal_close_price,price_change_pct,days_since_signal,vstop,vstop2,vstopseries,uptrend,volume,score,signal_day_change_abs,signal_day_change_pct,performance_since_signal
AMZN,weekly,2025-06-02,Long,232.3300,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,213.5700,8.7840,91,173.8056,193.6878,183.7467,True,164153200,33.7840,8.5900,4.1907,8.7840
ASML,weekly,2025-06-02,Long,781.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,753.0200,3.8087,91,619.4240,686.2220,652.8230,True,6616300,28.8087,19.7300,2.6906,3.8087
AVGO,weekly,2025-05-12,Long,334.8900,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,228.0732,46.8345,112,153.3646,190.7189,172.0417,True,147778200,35.0000,9.0986,4.1551,46.8345
AXON,weekly,2025-05-12,Long,728.4100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,733.1800,-0.6506,112,516.1909,624.6854,570.4381,True,1911200,25.0000,33.1800,4.7400,-0.6506
AZN,weekly,2025-08-11,Long,81.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,79.1700,3.1957,21,66.3608,72.7654,69.5631,True,12777800,28.1957,5.3100,7.1893,3.1957
BIIB,weekly,2025-08-11,Long,140.6700,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,138.6000,1.4935,21,109.8330,124.2165,117.0247,True,7837100,26.4935,7.4400,5.6725,1.4935
BKNG,weekly,2025-05-12,Long,5496.3374,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,5307.9067,3.5500,112,4301.4631,4804.6849,4553.0740,True,857200,28.5500,137.5224,2.6598,3.5500
BKR,weekly,2025-07-07,Long,45.5800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,40.4860,12.5820,56,34.4960,37.4910,35.9935,True,27583100,35.0000,1.1141,2.8297,12.5820
CCEP,weekly,2025-08-25,Short,88.8800,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,88.8600,0.0225,7,101.2701,95.0650,98.1675,False,7469600,28.0000,0.6000,-0.6707,0.0225
CDNS,weekly,2025-04-28,Long,351.0100,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,atr1,308.1500,13.9088,126,221.5386,264.8443,243.1914,True,4364800,35.0000,20.1300,6.9891,13.9088
